canonical,alias
CAMERON,CAM
CANDACE,CANDY
CORABEL,CARABELLA
CORABEL,CARABELLE
CHARLES,CARL
KARLA,CARLA
CARMON,CARM
CAROL,CAROLANN
CAROLINE,CAROLE
CAROL,CARRI
JASPER,CASPER
SANDRA,CASSANDRA
CASSANDRA,CASSIE
CASSANDRA,CASSY
CATHERINE,CATE
CATHY,CATHLEEN
SHEILA,CECILIA
CEDRIC,CED
CYRENIUS,CENE
LAODICIA,CENIA
CHAUNCEY,CHAN
CHARLOTTE,CHAR
CHARLIE,CHARLES
CHARLES,CHARLIE
CHICK,CHARLOTTE
CHARLIE,CHARLY
CARMON,CHARM
CHARLES,CHAS
CHASTITY,CHASTIE
CHASTITY,CHASTY
CHARITY,CHAT
MICHELLE,CHELLE
CHELSEY,CHELSIE
CHERYL,CHER
SHERYL,CHERI
SHERYL,CHERIE
CHET,CHESTER
CHARLES,CHICK
CHIQUITA,CHICKY
TINA,CHRISTINA
CHRISTINA,CHRISTINE
LUCILLE,CILLE
CINDY,CINDERELLA
CYNTHIA,CINTHA
CICELY,CISS
NICHOLAS,CLAAS
CLARA,CLARISSA
CLARISSA,CLAS
CLARISSA,CLASSIE
CLAUDIA,CLAUD
CLEATUS,CLEAT
CLEMENTINE,CLEMENT
CLIFF,CLIFFORD
CLINTON,CLINT
CHLOE,CLO
COLUMBUS,CLUM
NICHOLAS,COLEY
COLE,COLIE
NICHOLAS,COLSON
CAMILLA,COMILLA
CONCEPCION,CONCHITA
CONSTANCE,CONNIE
CONSTANCE,CONNY
CORINNE,CORA
DELIA,CORDELIA
CORINNE,CORINNA
CORCORAN,CORK
CORNELIA,CORNIE
COURTNEY,COURT
SOCRATES,CRATE
LUCRETIA,CREASEY
CRYSTAL,CRYS
LECURGUS,CURG
CURTIS,CURT
CYNTHIA,CYNDI
ONICYPHOROUS,CYPHORUS
CANDACE,DACEY
DAYCIA,DACIA
DAVID,DAFFY
DALTON,DAHL
DAYCIA,DAISHA
MARGARET,DAISY
DANIEL,DAN
DANIELLE,DANI
DANNY,DANIEL
DANIEL,DANN
DAPHNE,DAPH
DAPHNE,DAPHIE
DORCUS,DARKEY
DARLENE,DARRY
DAVID,DAVE
DAVID,DAVEY
DAVID,DAY
DEBORAH,DEB
DEBORAH,DEBBY
DEBORAH,DEBE
DEBBIE,DEBORAH
DEBBIE,DEBRA
ADENA,DEENA
DELBERT,DEL
ADELA,DELA
ADELBERT,DELBERT
DELPHINE,DELF
DELLA,DELILAH
DELIA,DELIUS
ADELLE,DELLE
ADELLE,DELLIA
DELIVERANCE,DELLY
DELPHINE,DELPHI
ADENA,DENA
PRUDENCE,DENCE
DENNIS,DENNIE
DENNISON,DENNIS
DIONYSIUS,DENNY
DERALD,DERA
FREDERICK,DERICK
DEREK,DERREK
DIANA,DI
DIANE,DIAN
DIANA,DIANAH
DIANE,DIANNE
DICEY,DICIE
RICHARD,DICKIE
RICHARD,DICKON
RICHARD,DICKY
LAODICIA,DICY
DELIVERANCE,DILLY
DIANA,DINAH
EPAPHRODITIUS,DITE
EPAPHRODITIUS,DITUS
ROBERT,DOB
ROBERT,DOBBIN
DOROTHEA,DODA
DOROTHY,DOLLY
ADOLPHUS,DOLPH
DONALD,DON
DONNA,DONA
DONALD,DONNIE
DONALD,DONNY
DOROTHY,DORA
DOROTHY,DORIE
DORINDA,DOROTHEA
DOROTHY,DORTHA
THEODOSIA,DOSIA
EUDORIS,DOSIE
EUDORIS,DOSSIE
DOROTHY,DOT
DOROTHY,DOTTIE
DOUGLAS,DOUG
SONDRA,DRE
ANDREW,DREW
ALEXANDRIA,DRINA
DUNCAN,DUNK
DUSTIN,DUSTY
HERMAN,DUTCH
DEUTERONOMY,DUTY
EPAPHRODITIUS,DYCE
EPAPHRODITIUS,DYCHE
EBENEZER,EBEN
EDNA,EDEN
EDNA,EDNY
EDITH,EDON
EDWINA,EDWIN
EUPHEMIA,EFFEMY
EUPHEMIA,EFFIE
EUPHEMIA,EFFY
HELENA,EILEEN
EDNA,EITHNE
ELLA,EL
ELBERTSON,ELBERT
HELENA,ELEANOR
LEONORE,ELENOR
ELIZABETH,ELISA
ELIZABETH,ELIZA
ELEANOR,ELLEANOR
ELEANOR,ELLEN
ELMER,ELMO
HELOISE,ELOISE
HELOISE,ELOUISE
ELIZABETH,ELSIE
ELIZABETH,ELSPET
ELVIRA,ELVIE
MANUEL,EMANUEL
IMMANUEL,EMMANUEL
EMILY,EMMELINE
ENOLA,ENLO
ADRIENNE,ENNE
EPHRAIM,EPH
EPAPHRODITIUS,EPPA
ARTELEPSA,EPSEY
DERRICK,ERIC
FREDERICA,ERICA
FREDERICKA,ERICKA
FREDERICA,ERIKA
ERNESTINE,ERNA
ERNESTINE,ERNEST
EARNEST,ERNESTINE
ERNEST,ERNIE
IRWIN,ERWIN
ESSY,ES
ISABELLA,ESEBELLA
ISABELLA,ESEBELLE
VANESSA,ESSA
ESTHER,ESSIE
ESTELLA,ESTELLE
HESTER,ESTHER
ETHELDREDA,ETHEL
ETHELDREDA,ETHELENE
ETHELDREDA,ETHYL
HENRIETTA,ETTA
EULALIA,EULA
UNICE,EUNICE
EVALINE,EVA
EVANGELINE,EVAN
EVELYN,EVELINA
EXPERIENCE,EXIE
FALLON,FAL
FALLON,FALCON
FALLON,FALL
FALLON,FALLIE
FALLON,FALLY
FALLON,FALON
EUPHEMIA,FAM
FANNY,FANNE
FANNY,FANNIE
FRANCES,FANNY
WESTLEY,FARMBOY
LAFAYETTE,FATE
FAITH,FAY
FELICIA,FEL
FELICIA,FELI
FELICIA,FELIX
PHERIBA,FERBIE
FERDINAND,FERD
FERGUS,FERIS
DELIA,FIDELIA
PHILANDER,FIE
WINFIELD,FIELD
PHOEBE,FIFI
JOSEPHINE,FINA
FIONNA,FIONA
FELICITY,FLICK
FLORENCE,FLO
FLORENCE,FLORA
FLORA,FLORENCE
FLORENCE,FLOSSIE
FLORENCE,FLOSSY
ALFONSE,FONSO
ALFONSE,FONZO
FRANCES,FRAN
FRANCES,FRANCINA
FRANCIE,FRANCINE
FRANKIE,FRANCIS
VERONICA,FRANKY
FRANCIS,FRANZ
FREDERICA,FREDDIE
FREDERICA,FREDERICK
FREDERICK,FREDRICKS
ALFREDA,FRIEDA
FREDERICK,FRITZ
SOPHRONIA,FRONA
SOPHRONIA,FRONIA
VERONICA,FRONY
GABRIELLA,GABBY
GABRIEL,GABE
ABIGAIL,GAIL
GARRETT,GARRATT
GARRETT,GARRET
GARRICK,GARRI
GARRETT,GARRY
GERALD,GARY
GERHARDT,GAY
JEHU,GEE
GENEVIEVE,GENA
EUGENE,GENE
GEOFFREY,GEOFF
GEORGINE,GEORGE
GEORGIANA,GEORGIA
GEORGE,GEORGIE
JERRY,GERALDINE
JERRY,GERI
GERALDINE,GERRI
GERALDINE,GERRIE
GERTRUDE,GERT
GERTRUDE,GERTIE
GIDEON,GID
GILBERT,GIL
GILES,GILLIS
REGINA,GINA
VIRGINIA,GINGER
VIRGINIA,GINNIE
VIRGINIA,GINNY
GIOVANNI,GIO
GLENN,GLEN
GLORIA,GLORY
GORDON,GORDIE
GREGORY,GORY
GOVERNOR,GOVIE
GREENBERRY,GREEN
GREGORY,GREG
GREGGORY,GREGG
GRISELDA,GRESELDA
MARGARITA,GRETA
MARGARET,GRETCHEN
MARGARET,GRETIE
GRISWALD,GRIS
GRISELDA,GRISSEL
MONTGOMERY,GUM
AUGUSTA,GUSSIE
AUGUSTA,GUSSY
GWENDOLYN,GWEN
GWENDOLYN,GWENNIE
GWENDOLYN,GWENNY
MAHALA,HALLIE
HAMILTON,HAM
JOHANNA,HANNA
JOHN,HANS
HERMAN,HARMAN
HARRY,HAROLD
HARRIET,HARRIOTTE
HORTENSE,HARTY
HASELTINE,HASSIE
HARRIET,HATTIE
JALEN,HAYLEN
HEDWIG,HEDDA
ADELAIDE,HEIDI
ELEANOR,HELEN
HILDEGARD,HELLE
ELOISE,HELOISE
HENRIETTA,HENNY
HARRY,HENRY
HERBERT,HERB
HERMIONE,HERMIE
HERSCHEL,HERSCH
HESTER,HESSY
ESTHER,HESTER
ESTHER,HETTIE
HEZEKIAH,HEZ
JEHIEL,HIEL
HILLARY,HILARY
HILDEGARD,HILDA
HILDEGARD,HILDEGARDE
MEHITABEL,HITTY
ROBERT,HOB
ROBERT,HOBKIN
JAHODA,HODA
JAHODA,HODIE
JAHODA,HODY
HONORA,HONEY
LEONORE,HONOR
HOPKINS,HOP
HOPKINS,HOPP
HORACE,HORRY
HOSEA,HOSEY
HOSEA,HOSIE
HOWARD,HOWIE
HUBERT,HUB
POSTHUMA,HUMEY
JOHN,IAN
IDABELLE,IDABELLA
ISAAC,IKE
INDIA,INDIE
INDIA,INDY
AGNES,INEZ
IRENE,IRA
HERMELINDA,IRMA
IRVING,IRV
IRVIN,IRVING
ERWIN,IRWIN
BELLA,ISABELLA
ISABELLA,ISABELLE
IVA,IVY
JACOB,JAAP
JOHN,JACK
JACQUELINE,JACKIE
JACOBUS,JACOB
JACQUELINE,JACQUI
JALEN,JAELIN
JALEN,JAELYN
JALEN,JAILYN
JACOB,JAKE
JANE,JANET
JANE,JANICE
JANE,JANIE
JANE,JANTJE
JASPER,JAP
CASPER,JASPER
JALEN,JAYE
JALEN,JAYLIN
JALEN,JAYLYN
JEBADIAH,JEB
JAMES,JEM
JENNIFER,JEN
JENNIFER,JENNI
JAMES,JEP
JESSICA,JESS
JESSICA,JESSIE
JOSETTA,JETTIE
JEREMY,JEZ
JEREMY,JEZZA
JAMES,JIM
JAMES,JIMMY
JOHN,JOCK
JOANNA,JODI
JOSEPH,JOEY
JOHN,JOHANN
JOHN,JOHNNIE
JOHN,JON
JOHN,JONATHAN
JUSTIN,JOOST
JOSEANNAH,JOSE
JOSEANNAH,JOSEANNA
PHENEY,JOSEPHINE
JOSHUA,JOSH
JOSEPHINE,JOSIE
JOSEPHINE,JOSINE
JOSEY,JOSOPHINE
JUSTIN,JOST
JOYCE,JOY
JUNIOR,JR
JUDSON,JUD
JUDITH,JUDA
JUDAH,JUDER
JUDITH,JUDI
JUDITH,JUDIE
JUDY,JUDITH
JUDITH,JUDY
JULIE,JULIA
JULIA,JULIE
JUNIOR,JUNE
JUNIOR,JUNIE
JUNE,JUNIUS
JUSTIN,JUSTINA
JUSTIN,JUSTON
JUSTIN,JUSTUS
KALLI,KALI
KAMERON,KAM
CAROL,KARA
CAROL,KARI
CARLA,KARLA
CATHERINE,KATE
CATHERINE,KATHLEEN
CATHERINE,KATHY
CATHERINE,KATIE
CATHERINE,KATTE
CATHERINE,KATY
MAKAYLA,KAYLA
KELLEY,KELLI
KELLEY,KELLIE
KELLEY,KELLY
KENNETH,KEN
KENDRA,KENJ
KENDRA,KENJI
MCKENNA,KENNA
KENNETH,KENNE
KENNY,KENNETH
MCKENZIE,KENSIE
KENNETH,KENT
MCKENZIE,KENZIE
MACKENZIE,KENZY
KERRY,KERRI
KEVIN,KEV
HEZEKIAH,KIAH
ARCHILLES,KILL
ARCHILLES,KILLIS
KIMBERLY,KIM
KIMBERLY,KIMBERLEY
KIMBERLEY,KIMBERLY
CHRISTINA,KIRSTI
CALISTA,KISSY
CATHERINE,KITTY
KEZIAH,KIZZA
KEZIAH,KIZZIE
CHRISTINA,KRISTEN
CURTIS,KURT
CURTIS,KURTIS
KYMBERLY,KYM
LETITIA,LAE
LETITIA,LAETITIA
LETITIA,LAETIZIA
LAFAYETTE,LAFFIE
ELAINE,LAINIE
MONTY,LAMONT
YULAN,LAN
LANETTE,LANAE
LANCELOT,LANCE
LEILANI,LANI
ELEANOR,LANNA
ROLAND,LANNY
ALANSON,LANSON
LANCELOT,LANZO
LARISSA,LARA
LAWRENCE,LARS
LAWRENCE,LARSS
LAURINDA,LAURA
LARRY,LAURENCE
LAURA,LAURIE
LAWRENCE,LAWRIE
ELEAZER,LAZAR
LITTLEBERRY,LB
LEANNE,LEA
RELIEF,LEAFA
ASHLEY,LEAH
PHILETUS,LEET
ELIPHALET,LEFT
LEMUEL,LEM
LEONARD,LEN
JALEN,LENNIE
ELEANOR,LENORA
LEONARD,LEO
LEONARD,LEONISIO
LESTER,LES
CELESTE,LESSIE
LETITIA,LETTICE
LETITIA,LETTY
ALEVA,LEVE
ALEVA,LEVY
LOUIS,LEW
LOUIS,LEWIS
ALEXANDER,LEXER
ALEXIS,LEXI
AMELIA,LIA
ELIAS,LIAS
ELIZABETH,LIB
ELIZABETH,LIBBY
LYDIA,LIDDY
ELIPHALEL,LIFE
ELIJAH,LIGE
DELILAH,LILA
SILENCE,LILEY
LILLIAN,LILLY
ANGELINA,LINA
LINDSAY,LINDSEY
LINDSAY,LINDSIE
LINDSAY,LINDSY
LEONARD,LINEAU
LINCOLN,LINK
ELIZABETH,LISBET
ELIZABETH,LISBETH
ELIZABETH,LISETTE
ELISHA,LISH
ALYSSA,LISSIA
LITTLEBERRY,LITTLE
ELIZABETH,LIZ
ELIZABETH,LIZA
ELIZABETH,LIZZIE
ELIZABETH,LIZZY
FLOYD,LLOYD
MELODY,LODI
LOUISE,LOIS
DELORES,LOLA
FALLON,LONNIE
ALONZO,LONZO
SALOME,LOOMIE
LORENZO,LOREN
LORELEI,LORI
CHARLOTTE,LOTTA
CHARLOTTE,LOTTE
CHARLOTTE,LOTTIE
LOUIS,LOUIE
LOU,LOUIS
LEROY,LR
LUKE,LUCAS
LUCY,LUCINDA
LUCIA,LUCIUS
LUELLA,LULA
LULABELLE,LULABELLA
LURANA,LURA
MEHITABEL,MABEL
MACKENZIE,MACK
MAGDALENA,MADALINE
MARGARET,MADGE
MAGDALENA,MAG
MARGARET,MAGAN
MARGARET,MAGGY
MARGARITA,MAISIE
MALCOLM,MAL
MALCOLM,MALC
MAGDALENA,MALENA
MALACHI,MALLY
AMANDA,MANDA
AMANDA,MANDY
MANUEL,MANNIE
SAMANTHA,MANTHA
MARCUS,MARC
MARSHA,MARCIA
MARSHA,MARCIE
MARGE,MARGARETTA
MARGARITA,MARGO
ANNAMARIA,MARIA
MARIETTA,MARIAH
MARIAN,MARIANNA
MARGIE,MARJORIE
MARCUS,MARK
MARNI,MARNIE
MARTIN,MARTY
MARVIN,MARV
MARV,MARVIN
MARYANN,MARY
MASAYUKI,MASA
MATTHEW,MATT
MARTHA,MATTIE
MATHEW,MATY
MATILDA,MAUDE
MARIETTA,MAUREEN
MOREEN,MAURIE
MOREEN,MAURY
MARIETTA,MAY
MARGARET,MEAGHAN
MCKENNA,MEAKA
ALMEDA,MEDIA
BARTHOLOMEW,MEES
MARGARITA,MEGAN
MABEL,MEHITABEL
PARMELIA,MELIA
MISSY,MELISSA
PERMELIA,MELLY
CARMELO,MELO
PHILOMENA,MENAALMENA
MERCEDES,MERCI
MERCEDES,MERCY
MYRTLE,MERT
MERV,MERVIN
MARGARITA,METTA
BARTHOLOMEW,MEUS
MICHAEL,MICAH
ARAMINTA,MIDDIE
MAUD,MIDDY
MIGUEL,MIGGY
MIGUEL,MIGUAEL
MIGUEL,MIGUAELL
MIGUEL,MIGUAIL
MIGUEL,MIGUAILL
MIGUEL,MIGUAYL
MIGUEL,MIGUAYLL
MIGUEL,MIGUELL
MICHAEL,MIKE
MICHEAL,MIKY
AMELIA,MILA
CAMILLA,MILLE
JEMIMA,MIMA
MIRIAM,MIMI
WILHELMINA,MINA
ARMINDA,MINDIE
MELINDA,MINDY
MANERVA,MINERVA
ARMINTA,MINITE
WILHEMINA,MINNY
ARAMINTA,MINTY
MELISSA,MISSIE
MITCHELL,MITCH
MITCH,MITCHELL
MIRIAM,MITZIE
DEMOCRATES,MOCK
MARIETTA,MOLLIE
MARY,MOLLY
RAMONA,MONA
MONICA,MONNA
MONICA,MONNIE
MONTELEON,MONTE
MORTIMER,MORT
MOSES,MOSE
AMOS,MOSES
MOSES,MOSS
MURIEL,MUR
ALMYRA,MYRA
MYRTLE,MYRT
MYRTLE,MYRTI
NADINE,NADA
ANN,NANCY
FERDINANDO,NANDO
ANN,NANNY
NAPOLEON,NAP
NAPOLEON,NAPPY
NATHANIEL,NAT
NATHANIEL,NATE
IGNATIUS,NATIUS
NAVARRE,NAVA
IGNATZIO,NAZ
CORNELIUS,NEAL
CORNELIUS,NEIL
CORNELIA,NELIA
CORNELIA,NELL
CORNELIA,NELLE
NELSON,NELS
MANERVA,NERVA
MANERVA,NERVIE
NESTORIO,NEST
NESTORIO,NESTOR
ANTOINETTE,NETTIE
NEWTON,NEWT
NEWT,NEWTON
VERNISEE,NICEY
NICHOLETTE,NICHOLE
NICHOLAS,NICK
NICHOLETTE,NICKEY
NICOLE,NICKI
NICOLE,NICKIE
NICHOLAS,NICKY
NICHOLAS,NICOLAS
NICHOLETTE,NICOLE
CORNELIUS,NIEL
CORNELIUS,NIELS
NICOLE,NIKI
NICHOLAS,NIKOLAS
ANTONINA,NINA
JUANITA,NITA
MANOAH,NOAH
NOWELL,NOEL
NICOLE,NOLE
MANOLA,NONNIE
HONORA,NORAH
NORBUSAMTE,NORBU
NORBERT,NORBY
NORMAN,NORM
NORMAN,NORMIE
HONORA,NORRY
OBADIAH,OBED
OBIE,OBEDIAH
ODELIA,ODA
OTIS,ODE
ODELL,ODO
VIOLA,OLA
OLAF,OLE
OLLIE,OLIVER
NAOMI,OMI
ONICYPHOROUS,ONE
IONA,ONNIE
THEOPHILUS,OPHI
RODERICK,ORDIE
AURELIA,ORILLA
ROLAND,ORLANDO
NORMAN,ORME
ONICYPHOROUS,OSAFORUM
ONICYPHOROUS,OSAFORUS
OTIS,OTE
THEOTHA,OTHA
PATRICK,PADDY
PAMELA,PAM
PAMELA,PAMMIE
PAMELA,PAMMY
PARTHENIA,PARSUNY
PARTHENIA,PASOONIE
MARTHA,PATSY
PATRICIA,PATTI
MARTHA,PATTIE
MARGARET,PEG
MARGARITA,PEGGIE
MARGARET,PEGGY
PENELOPE,PEN
PHILIPINA,PENIE
PENELOPE,PENNY
PERCIVAL,PERCY
PETER,PETE
PATRICK,PETER
ORPHELIA,PHELIA
TRYPHENA,PHENA
PARTHENIA,PHENIE
PHERIBA,PHERBIA
PHILLIP,PHIL
DELPHA,PHILADELPHIA
ADELPHIA,PHILLY
PHILIPINA,PHOEBE
PINCKNEY,PINK
PLEASANT,PLES
POCAHONTAS,POKEY
MARY,POLLIE
PRESCOTT,PRES
PRISCILLA,PRISSY
PROVIDENCE,PROVY
PRUDY,PRUDENCE
PRUDENCE,PRUDY
PRUDENCE,PRUE
AQUILLA,QUIL
TRANQUILLA,QUILLA
AQUILLA,QUILLIE
RACHEL,RACHAEL
RAFAELA,RAFA
RAPHAEL,RALPH
RANDOLPH,RANDALL
RANDOLPH,RANDE
MIRANDA,RANDI
RANDOLPH,RANDY
ERASMUS,RAS
ERASMUS,RASMUS
RAYMOND,RAY
RAY,RAYMOND
ERASMUS,RAZE
ANDREA,REA
REBECCA,REBA
REBECCA,REBE
REBECCA,REBEKAH
REGINALD,REG
CINDERELLA,RELLA
LAUREN,REN
CYRENIUS,RENIUS
REGINALD,RENNY
GARRETT,RHETT
RHYNA,RHYNIE
ADRIAN,RIAN
ADRIANE,RIANE
RICHARD,RICH
DICK,RICHARD
ALDRICH,RICHE
RICHARD,RICK
FREDERICKA,RICKA
RODERICK,RICKIE
RICHARD,RICKY
MARISSA,RISSA
ROBERT,ROB
ROBERTA,ROBBIE
ROBERT,ROBBY
ROBERTA,ROBY
RODERICK,RODDIE
RODERICK,RODDY
ROGER,RODGER
RHODA,RODIE
RODGER,ROGER
ORLANDO,ROLAND
ROLAND,ROLLO
ROLAND,ROLLY
RONNY,RONALD
VERONICA,RONIE
VERONICA,RONNA
RODERICK,RORIC
ROSABELLA,ROSA
ROSABELLA,ROSABELLE
ROSANNA,ROSANNE
ROSANNA,ROSEANN
ROSANNA,ROSEANNA
ROSANNA,ROSEANNE
ROSEMARY,ROSEMARIE
ROSEMARY,ROSEY
ROSCOE,ROSS
ROXANE,ROX
ROXANNE,ROXY
LEROY,ROY
REUBEN,RUBE
RUDOLPH,RUDY
ARAMINTA,RUMINTA
ROBERT,RUPERT
RODERICK,RURIK
RUSSELL,RUSS
RUSSELL,RUSTY
RUSSELL,RUSTYN
RYAN,RY
SARAH,SADIE
SAFIEEL,SAFIE
SARAH,SALLY
SOLOMON,SALMON
SAMUEL,SAM
SAMUEL,SAMMIE
SAMUEL,SAMMY
ALEXANDRA,SANDY
SARAH,SARA
SOLOMON,SAUL
SAVANNAH,SAVANNA
SCOTT,SCEETER
PRESCOTT,SCOTT
SCOTT,SCOTTIE
SCOTT,SCOTTY
SEBASTIAN,SEB
SEBASTIAN,SEBBY
SEYMOUR,SEE
ANSELM,SELMA
ASENATH,SENE
ESENETH,SENIE
PERSEPHONE,SEPH
PERSEPHONE,SEPHY
CYRENIUS,SERENE
SERGIO,SERGE
CHARLOTTE,SHARLOTTE
SHAWN,SHAUN
SHAUN,SHAWN
BATHSHEBA,SHEBA
SHELTON,SHEL
MICHELLE,SHELLEY
MICHELLE,SHELLIE
MICHELLE,SHELY
SHERYL,SHERI
SHERYL,SHERRI
CHERYL,SHERRIE
CHERYL,SHERRY
SHERYL,SHERRYL
SHIRLEY,SHIRL
SIBBILLA,SIBBELL
SIDNEY,SID
SIGISMUND,SIG
ROSINA,SINA
LUCINA,SINAH
FRANCES,SIS
SMITH,SMITTY
SOLOMON,SOL
SOLOMON,SOLLY
SONDRA,SONNIE
SOPHRONIA,SOPHIA
SOPHIA,SOPHIE
SCOTT,SQUAT
STACIE,STACEY
EUSTACIA,STACIA
STACEY,STACIE
ANASTACIA,STACY
CRYSTAL,STAL
STANLEY,STAN
STEPHANIE,STEFFI
STEPHANIE,STEFFIE
ESTELLA,STELE
ESTELLA,STELLA
STEPHANIE,STEPH
STEPHANIE,STEPHANI
STEPHANIE,STEPHANY
STEPHANIE,STEPHIE
STEPHANIE,STEPHINE
STEPHEN,STEVE
STEPHEN,STEVEN
ANSTICE,STICE
STUART,STU
SUZANNE,SUKI
URSULA,SULA
URSULA,SULIE
SULLIVAN,SULLY
SUE,SUSAN
SUSANNA,SUSANNAH
SUSANNA,SUSIE
SUSANNA,SUZIE
CYRENIUS,SWENE
SYLVESTER,SY
SIBBILLA,SYBILL
SIDNEY,SYD
ONICYPHOROUS,SYPHOROUS
TABITHA,TABBY
TABBY,TABITHA
THADDEUS,TAD
CRYSTAL,TAL
TAMMY,TAMMIE
THOMASA,TAMZINE
TANAFRA,TANNY
TASHA,TASH
NATASHA,TASHA
TASHA,TASHIE
CLOTWORTHY,TATTIE
CLOTWORTHY,TATTY
OCTAVIA,TAVE
OCTAVIA,TAVIA
ARISTOTLE,TELLY
TEMPERANCE,TEMPE
TEMPERANCE,TEMPY
HORTENSE,TENSEY
TERRY,TERENCE
THERESA,TERESA
TERRI,TERI
TERRI,TERRIE
THERESA,TESSE
THERESA,TESSIE
DEIRDRE,TETE
THADDEUS,THAD
THAD,THADDEUS
NATHANIEL,THAN
BETHENA,THANEY
ADELAIDE,THELLA
THEO,THEODORE
THEODOSIA,THEODOSIUS
THERESA,THIRZA
THOMAS,THOM
FELICITY,TICK
TIFFANY,TIFF
TIFFANY,TIFFY
MATILDA,TILDA
MATILDA,TILLA
MATILDA,TILLY
TIMOTHY,TIM
TIMOTHY,TIMMIE
TIMOTHY,TIMMY
MARTINE,TINE
LATISHA,TISHA
LETITIA,TITIA
TOBIAS,TOBY
ANTOLLE,TOLLE
THOMAS,TOM
THOMAS,TOMMIE
THOMAS,TOMMY
ANTOINETTE,TONI
ANTHONY,TONNE
VICTORIA,TORI
VICTORIA,TORIE
VICTORIA,TORRI
VICTORIA,TORRIE
VICTORIA,TORY
THERESA,TRACEY
THERESA,TRACI
THERESA,TRACIE
THERESA,TRACY
TRANQUILLA,TRANNIE
PATRICIA,TRICIA
TRIJNTJE,TRINA
PATRICIA,TRISH
